Name,Release Date,Max Resolution,Low Resolution,Effective Pixel,Zoom Wide,Zoom Tele,Normal Focus,Macro Focus,Sotrage,Weight,Dimensions,Price
Canon PowerShot A450,2007,2592,2048,5,38,122,47,1,16,215,106,139
Canon PowerShot A460,2007,2592,2048,5,38,152,47,2,16,215,106,139
Canon PowerShot A550,2007,3072,2592,7,35,140,45,2,16,210,91,149
Canon PowerShot A560,2007,3072,2592,7,35,140,45,1,16,205,91,149
Canon PowerShot A570 IS,2007,3072,2592,7,35,140,45,0,16,215,90,149
Canon PowerShot A650 IS,2007,4000,3264,7,35,210,0,0,32,300,97,399
Canon PowerShot A720 IS,2007,3264,2592,7,35,210,55,0,16,250,97,399
Canon EOS-1D Mark III,2007,3888,3456,7,0,0,0,1,0,1335,156,4499
Canon EOS-1Ds Mark III,2007,5616,4992,7,0,0,0,1,0,1385,150,7999
Canon EOS 40D,2007,3888,2816,5,0,0,0,1,0,822,146,1299
Canon PowerShot G9,2007,4000,3264,5,35,210,50,1,32,370,106,499
Canon PowerShot S5 IS,2007,3264,2272,5,36,432,50,0,32,550,117,399
Canon PowerShot SD1000,2007,3072,2592,7,35,105,0,1,32,175,86,199
Canon PowerShot SD750,2007,3072,2592,7,35,105,0,1,32,170,92,384
Canon PowerShot SD850 IS,2007,3264,2272,7,35,140,45,1,32,195,90,384
Canon PowerShot SD870 IS,2007,3264,2592,7,28,105,45,2,32,165,93,384
Canon PowerShot SD950 IS,2007,4000,3264,5,36,133,50,0,32,205,96,384
Canon PowerShot SX100 IS,2007,3264,2592,5,36,360,50,0,32,316,109,299
Canon PowerShot TX1,2007,3072,2592,7,39,390,50,1,0,260,89,139
Casio Exilim EX-S880,2007,3264,2816,5,38,114,50,2,10,138,94.5,249
Casio Exilim EX-V7,2007,3072,2560,7,38,266,30,1,11,190,96,299
Casio Exilim EX-V8,2007,3264,2816,8,38,266,40,0,11,199,96,299
Casio Exilim EX-Z1050,2007,3648,2560,5,38,114,40,1,15,165,91,329
Casio Exilim EX-Z1080,2007,3648,2560,5,38,114,40,0,11,165,91,329
Casio Exilim EX-Z1200 SR,2007,4000,3264,5,37,111,40,1,11,162,93,329
Casio Exilim EX-Z75,2007,3072,2560,7,38,114,40,1,8,156,95,199
Casio Exilim EX-Z77,2007,3072,2560,7,38,114,40,2,11,128,95,199
Fujifilm FinePix A610,2007,2848,2048,7,39,117,60,1,10,195,98,169
Fujifilm FinePix A800,2007,3296,2304,8,36,108,50,0,10,200,98,169
Fujifilm FinePix A820,2007,3296,2304,8,39,156,60,0,10,205,98,169
Fujifilm FinePix A900,2007,3488,2048,8,39,156,60,1,10,205,98,169
Fujifilm FinePix A920,2007,3488,2592,8,39,156,60,2,10,206,98,169
Fujifilm FinePix F40 fd,2007,3296,2304,8,36,108,45,0,25,181,96,199
Fujifilm FinePix F480 Zoom,2007,3264,2304,8,28,112,40,0,12,170,96,169
Fujifilm FinePix F50 fd,2007,4000,2848,7,35,105,45,0,25,205,93,199
Fujifilm FinePix IS-1,2007,3488,2592,7,28,300,0,1,0,750,128,169
Fujifilm FinePix S5700 Zoom,2007,3072,2304,5,38,380,30,1,27,406,106,229
Fujifilm FinePix S8000 fd,2007,3264,2304,5,27,486,70,1,58,510,111,399
Fujifilm FinePix Z10  fd,2007,3072,2304,5,38,114,60,1,54,160,91,399
Fujifilm FinePix IS Pro,2007,4256,3024,7,0,0,0,0,0,920,147,1699
HP Photosmart M537,2007,2848,0,7,38,114,50,1,32,157,90,179
HP Photosmart Mz67,2007,3264,0,7,35,210,0,1,32,157,90,179
HP Photosmart R742,2007,3096,0,7,36,108,50,2,32,190,91,179
HP Photosmart R837,2007,3112,0,5,39,118,50,2,32,227,105,179
Nikon Coolpix L10,2007,2560,2048,5,37,112,40,1,7,165,90,99
Nikon Coolpix L11,2007,2816,2048,7,37,112,40,1,7,175,90,99
Nikon Coolpix L12,2007,3072,2592,5,35,105,50,1,21,175,91,99
Nikon Coolpix L14,2007,3072,2048,7,38,114,60,1,23,225,91,129
Nikon Coolpix L15,2007,3264,2592,7,35,105,50,0,32,225,91,159
Nikon Coolpix P50,2007,3264,3200,7,28,102,50,0,52,210,95,229
Nikon Coolpix P5000,2007,3648,2592,5,36,126,30,0,26,240,98,399
Nikon Coolpix P5100,2007,4000,3264,5,35,123,30,1,52,250,98,399
Nikon Coolpix S200,2007,3072,2592,5,38,114,60,1,20,165,92,229
Nikon Coolpix S50,2007,3072,2592,7,38,114,30,1,13,165,88,229
Nikon Coolpix S500,2007,3072,2592,7,35,105,50,1,26,165,88,229
Nikon Coolpix S50c,2007,3072,2592,7,38,114,30,0,13,165,88,329
Nikon Coolpix S51,2007,3264,2592,7,38,114,30,1,13,175,93,279
Olympus FE-290,2007,3072,2048,5,28,112,40,1,6,142,98,129
Olympus FE-300,2007,4000,2048,5,35,105,60,1,48,115,94,129
Olympus SP-550 UZ,2007,3072,2560,7,28,504,10,1,20,460,116,449
Olympus SP-560 UZ,2007,3264,2560,5,27,486,10,1,47,365,116,449
Olympus Stylus 1200,2007,4000,3264,8,35,105,60,1,47,125,98,249
Olympus Stylus 760,2007,3072,2560,8,37,111,60,1,18,160,99,229
Olympus Stylus 770 SW,2007,3072,2560,7,38,114,50,0,18,195,92,299
Olympus Stylus 780,2007,3072,2560,7,36,180,70,0,18,195,100,299
Olympus Stylus 790 SW,2007,3072,2560,7,38,114,50,0,14,155,92,299
Olympus Stylus 820,2007,3264,2560,8,36,180,70,1,47,125,96,249
Olympus Stylus 830,2007,3248,2560,8,36,180,70,1,14,125,100,249
Panasonic Lumix DMC-FX10,2007,2816,2048,5,35,105,50,1,27,155,94,1499
Panasonic Lumix DMC-FX100,2007,4000,3264,8,28,100,50,1,27,150,54,1499
Panasonic Lumix DMC-FX12,2007,3072,2560,7,35,105,50,0,27,155,94,1499
Panasonic Lumix DMC-FX30,2007,3072,2560,7,28,100,50,1,27,162,95,299
Panasonic Lumix DMC-FX33,2007,3264,2560,8,28,100,50,1,27,154,95,299
Panasonic Lumix DMC-FX55,2007,3264,2560,8,28,100,50,2,27,165,95,1499
Panasonic Lumix DMC-FZ18,2007,3264,2560,8,28,504,30,2,27,407,118,149
Panasonic Lumix DMC-FZ8,2007,3072,2560,7,36,432,30,2,27,340,113,149
Panasonic Lumix DMC-L10,2007,3648,2816,8,0,0,0,2,0,556,135,1499
Panasonic Lumix DMC-LS60,2007,2816,2048,8,35,105,50,1,27,188,94,149
Panasonic Lumix DMC-LS75,2007,3072,2560,7,35,105,50,1,27,188,94,1499
Ricoh Caplio R6,2007,3072,2592,7,28,200,30,1,54,165,100,99
Ricoh Caplio R7,2007,3264,3264,8,28,200,30,2,24,135,100,99
Ricoh Caplio GX100,2007,3648,3264,8,24,72,30,2,26,260,112,399
Samsung i7,2007,3072,2592,5,38,114,80,2,450,210,101,119
Samsung i70,2007,3072,2592,8,38,114,80,1,20,180,90,199
Samsung i85,2007,3264,2592,7,36,108,80,1,173,0,95,149
Samsung L83T,2007,3264,2592,7,38,114,80,0,19,160,93,229
Samsung L700,2007,3072,2592,8,35,105,80,0,20,170,97,199
Samsung L73,2007,3072,2592,8,35,105,80,0,19,180,98,119
Samsung L730,2007,3264,2592,7,38,114,80,1,16,183,95,99
Samsung L74 Wide,2007,3072,2592,7,28,101,80,1,450,210,105,119
Samsung L77,2007,3072,2592,7,38,266,80,1,0,0,94,119
Samsung L830,2007,3264,2592,8,38,114,80,1,10,183,95,99
Samsung NV11,2007,3648,3136,5,35,190,80,1,0,240,107,229
Samsung NV15,2007,3648,2592,7,34,102,80,0,20,0,97,229
Samsung NV20,2007,4000,2592,8,34,102,80,0,20,0,97,229
Samsung NV8,2007,3264,2592,5,34,102,80,0,20,0,97,229
Samsung S1030,2007,3648,3476,5,35,105,80,1,45,220,100,199
Samsung S1050,2007,3648,3476,5,38,190,80,1,45,254,105,199
Samsung S630,2007,2816,2048,7,35,105,80,1,16,186,100,99
Samsung S730,2007,3072,2592,7,35,105,80,1,16,186,100,99
Samsung S830,2007,3264,3072,7,35,105,80,1,45,220,100,99
Samsung S85,2007,3264,2592,8,38,190,80,0,20,204,100,149
